latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.43361,-73.93478,-91,-96,-88,-93,-79,-92,-95,-97,-98,-98,-100,-99,-99,-97,-96,-94,-94,-96,-87,-92,-92,-91,-90,-90,-87,-88,
45.43353,-73.93491,-90,-96,-92,-83,-84,-96,-97,-99,-97,-99,-100,-98,-98,-98,-95,-95,-93,-93,-90,-90,-89,-93,-92,-89,-88,-88,
45.43350,-73.93505,-89,-95,-90,-91,-85,-88,-97,-99,-96,-97,-101,-99,-98,-97,-95,-95,-93,-92,-91,-88,-90,-93,-92,-90,-87,-88,
45.43346,-73.93519,-90,-95,-91,-85,-83,-92,-98,-99,-93,-99,-100,-99,-98,-97,-95,-94,-95,-93,-88,-91,-92,-92,-92,-86,-88,-87,
45.43343,-73.93530,-89,-93,-88,-92,-85,-93,-99,-98,-96,-96,-99,-98,-96,-97,-95,-95,-93,-94,-89,-87,-90,-93,-91,-90,-87,-88,
45.43338,-73.93545,-91,-95,-91,-85,-83,-97,-97,-98,-97,-97,-97,-99,-99,-98,-95,-96,-94,-95,-92,-90,-91,-93,-91,-89,-88,-88,
45.43333,-73.93557,-91,-95,-92,-90,-85,-92,-98,-98,-95,-98,-101,-100,-98,-98,-96,-95,-93,-93,-89,-92,-91,-91,-93,-89,-88,-87,
45.43330,-73.93571,-90,-93,-89,-85,-88,-91,-98,-97,-97,-96,-100,-99,-98,-99,-95,-92,-94,-94,-87,-91,-91,-92,-92,-90,-89,-87,
45.43325,-73.93584,-87,-95,-93,-90,-88,-87,-97,-97,-95,-99,-99,-99,-98,-97,-96,-94,-91,-94,-88,-90,-91,-91,-92,-90,-88,-88,
45.43322,-73.93595,-88,-94,-90,-93,-88,-93,-97,-99,-93,-97,-100,-100,-98,-98,-95,-95,-92,-95,-89,-89,-90,-93,-92,-86,-87,-87,
45.43319,-73.93608,-88,-95,-88,-92,-84,-89,-97,-98,-95,-95,-100,-100,-96,-97,-93,-94,-95,-93,-90,-93,-91,-91,-92,-89,-86,-89,
45.43314,-73.93621,-93,-96,-88,-84,-78,-99,-99,-98,-96,-99,-99,-99,-99,-98,-96,-95,-94,-95,-89,-90,-90,-92,-91,-87,-87,-87,
45.43311,-73.93631,-90,-97,-91,-92,-82,-88,-97,-98,-96,-97,-100,-99,-97,-98,-94,-96,-92,-95,-87,-88,-90,-91,-92,-90,-88,-88,
45.43309,-73.93646,-89,-96,-91,-93,-79,-97,-99,-97,-95,-97,-100,-97,-96,-99,-93,-94,-93,-94,-91,-89,-90,-90,-91,-89,-88,-88,
45.43298,-73.93670,-84,-95,-90,-93,-79,-85,-99,-96,-95,-98,-100,-97,-99,-97,-95,-96,-94,-94,-86,-92,-91,-92,-92,-89,-87,-88,
