latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.43374,-73.93379,-87,-92,-92,-81,-82,-96,-94,-97,-97,-96,-100,-99,-97,-98,-96,-92,-90,-94,-82,-88,-89,-91,-92,-87,-85,-87,
45.43386,-7393387,-90,-90,-92,-78,-85,-94,-94,-98,-96,-97,-99,-99,-97,-98,-95,-95,-93,-93,-85,-88,-91,-92,-92,-90,-88,-88,
45.43396,-73.93393,-90,-90,-89,-87,-86,-94,-96,-98,-94,-97,-100,-97,-99,-98,-95,-95,-93,-93,-84,-90,-89,-91,-91,-87,-88,-88,
45.43402,-73.93396,-89,-88,-89,-87,-80,-96,-92,-95,-94,-96,-100,-97,-98,-97,-96,-94,-94,-93,-84,-90,-87,-87,-91,-88,-88,-87,
45.43411,-73.93402,-89,-88,-91,-76,-87,-89,-97,-96,-93,-98,-99,-99,-98,-96,-95,-96,-95,-93,-88,-89,-89,-93,-90,-89,-86,-88,
45.43424,-73.93411,-88,-90,-93,-81,-85,-88,-95,-96,-93,-97,-98,-99,-98,-98,-92,-95,-91,-93,-87,-89,-87,-92,-93,-87,-87,-88,
45.43437,-73.93421,-88,-88,-90,-82,-82,-92,-85,-90,-87,-96,-98,-98,-98,-97,-96,-95,-93,-94,-85,-88,-91,-91,-92,-89,-84,-88,
45.43445,-73.93427,-88,-87,-91,-89,-85,-91,-90,-90,-84,-97,-99,-100,-98,-98,-95,-96,-94,-92,-86,-87,-88,-91,-92,-88,-86,-88,
45.43454,-73.93433,-87,-90,-92,-90,-84,-87,-88,-94,-84,-97,-100,-99,-98,-97,-92,-95,-93,-93,-89,-88,-90,-92,-86,-89,-87,-87,
45.43463,-73.93440,-88,-86,-94,-90,-83,-92,-95,-87,-88,-96,-97,-99,-98,-97,-96,-95,-93,-94,-90,-90,-88,-89,-92,-87,-86,-88,
45.43470,-73.93445,-88,-88,-90,-81,-79,-92,-92,-88,-89,-98,-100,-99,-97,-97,-95,-94,-92,-93,-89,-91,-90,-92,-92,-88,-88,-88,
45.43476,-73.93448,-83,-90,-92,-88,-83,-87,-89,-93,-92,-98,-99,-99,-97,-98,-95,-95,-93,-94,-89,-90,-88,-90,-91,-90,-87,-86,
45.43483,-73.93452,-87,-89,-92,-83,-85,-95,-89,-95,-84,-96,-98,-99,-99,-98,-95,-95,-92,-92,-88,-87,-86,-92,-92,-87,-86,-88,
45.43489,-73.93458,-90,-92,-91,-91,-87,-91,-95,-97,-94,-94,-101,-98,-98,-98,-96,-95,-92,-94,-90,-89,-92,-92,-92,-89,-87,-89,
45.43500,-73.93464,-89,-92,-89,-80,-82,-91,-95,-95,-95,-93,-99,-99,-99,-96,-91,-95,-93,-94,-91,-89,-87,-92,-92,-89,-82,-88,
45.43510,-73.93470,-91,-91,-91,-86,-83,-89,-94,-97,-97,-97,-100,-98,-98,-97,-95,-94,-94,-94,-89,-88,-88,-91,-89,-90,-87,-88,
45.43515,-73.93473,-87,-88,-91,-92,-79,-94,-94,-95,-96,-96,-98,-99,-98,-98,-95,-94,-92,-93,-89,-89,-91,-92,-92,-90,-89,-88,
45.43525,-73.93480,-90,-92,-92,-88,-84,-93,-99,-98,-95,-98,-98,-98,-97,-96,-94,-95,-92,-95,-87,-89,-90,-91,-92,-89,-87,-89,
45.43531,-73.93483,-89,-91,-91,-92,-82,-97,-98,-96,-96,-98,-100,-99,-98,-98,-96,-95,-94,-93,-83,-90,-91,-91,-90,-90,-87,-88,
45.43544,-73.93494,-89,-95,-92,-92,-83,-92,-98,-97,-95,-96,-99,-97,-97,-96,-96,-95,-95,-95,-88,-93,-91,-93,-91,-90,-86,-88,
45.43553,-73.93500,-84,-93,-89,-80,-79,-84,-95,-97,-95,-98,-100,-98,-96,-98,-95,-96,-95,-95,-83,-86,-86,-91,-91,-90,-88,-89,
45.43560,-73.93501,-87,-92,-92,-80,-84,-87,-96,-98,-92,-98,-100,-99,-98,-96,-94,-94,-92,-93,-90,-93,-88,-91,-91,-90,-88,-86,
45.43565,73.93501,-91,-94,-91,-84,-86,-93,-98,-96,-97,-97,-100,-99,-98,-99,-96,-95,-94,-95,-89,-91,-91,-91,-91,-89,-88,-87,
45.43573,-73.93507,-91,-92,-91,-90,-86,-92,-98,-97,-97,-97,-100,-98,-97,-97,-94,-95,-94,-94,-89,-91,-91,-91,-92,-90,-87,-87,
45.43583,-73.93515,-88,-87,-92,-91,-84,-85,-98,-98,-91,-98,-100,-98,-97,-97,-94,-95,-94,-94,-88,-89,-92,-92,-93,-89,-88,-88,
45.43592,-73.93520,-90,-93,-92,-89,-76,-87,-99,-99,-93,-99,-99,-98,-98,-97,-94,-95,-94,-95,-92,-91,-92,-90,-92,-89,-87,-87,
45.43600,-73.93523,-90,-94,-92,-90,-75,-95,-96,-98,-97,-99,-99,-96,-99,-83,-93,-94,-93,-95,-88,-91,-91,-92,-91,-90,-86,-88,
45.43611,-73.93533,-89,-89,-90,-94,-81,-94,-97,-98,-99,-97,-100,-100,-99,-96,-95,-96,-92,-95,-90,-90,-91,-92,-91,-89,-88,-88,
