latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.40940,-73.93816,-84,-86,-77,-67,-79,-83,-81,-90,-81,-95,-96,-94,-96,-89,-94,-95,-93,-92,-66,-91,-66,-90,-92,-88,-83,-87,
45.40945,-73.93815,-72,-68,-62,-66,-78,-77,-85,-84,-85,-96,-93,-91,-95,-95,-94,-95,-93,-92,-65,-89,-62,-88,-91,-87,-88,-78,
45.40950,-73.93819,-72,-68,-63,-77,-77,-77,-77,-87,-85,-96,-97,-90,-93,-95,-93,-95,-93,-90,-67,-87,-75,-90,-89,-89,-86,-84,
45.40954,-73.93822,-72,-69,-64,-75,-85,-86,-89,-87,-79,-95,-96,-89,-96,-93,-94,-95,-95,-93,-72,-88,-67,-90,-91,-87,-86,-82,
45.40953,-73.93834,-62,-69,-64,-76,-76,-77,-73,-88,-84,-94,-90,-93,-91,-92,-93,-95,-93,-91,-61,-89,-52,-88,-91,-86,-85,-82,
