latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.40950,-73.93824,-54,-86,-79,-60,-79,-85,-85,-86,-86,-96,-92,-97,-97,-96,-95,-92,-92,-90,-61,-90,-58,-89,-91,-87,-87,-75,
45.40947,-73.93810,-89,-87,-83,-76,-79,-88,-84,-85,-81,-95,-85,-89,-96,-94,-94,-93,-94,-92,-65,-86,-58,-89,-90,-85,-88,-77,
45.40947,-73.93800,-75,-69,-62,-74,-82,-92,-74,-88,-82,-96,-89,-88,-94,-94,-94,-94,-93,-92,-64,-91,-66,-89,-91,-88,-82,-77,
45.40949,-73.93782,-87,-70,-62,-68,-86,-90,-84,-90,-83,-95,-89,-90,-93,-94,-94,-92,-94,-92,-72,-87,-66,-90,-85,-89,-88,-85,
45.40956,-73.93762,-87,-89,-82,-89,-87,-89,-72,-90,-94,-95,-96,-97,-95,-94,-93,-94,-94,-93,-72,-87,-73,-91,-91,-89,-87,-88,
45.40956,-73.93777,-74,-68,-63,-79,-82,-87,-82,-89,-90,-95,-94,-89,-92,-93,-93,-91,-94,-91,-69,-88,-70,-90,-89,-89,-88,-88,
45.40955,-73.93788,-85,-88,-83,-85,-81,-87,-74,-92,-94,-94,-97,-97,-97,-94,-91,-94,-94,-93,-74,-87,-74,-90,-89,-88,-85,-87,
45.40949,-73.93794,-75,-69,-62,-73,-78,-83,-84,-87,-82,-94,-92,-88,-94,-94,-94,-93,-94,-92,-74,-89,-72,-91,-91,-88,-87,-87,
45.40950,-73.93805,-75,-68,-62,-71,-83,-84,-77,-90,-84,-95,-96,-89,-97,-95,-93,-93,-93,-91,-70,-91,-58,-90,-90,-88,-87,-83,
45.40945,-73.98317,-64,-68,-62,-64,-82,-82,-75,-86,-86,-96,-91,-88,-94,-92,-95,-94,-93,-91,-63,-89,-61,-86,-88,-88,-87,-76,
45.40942,-73.93828,-61,-69,-62,-78,-86,-85,-83,-89,-86,-92,-96,-87,-96,-93,-94,-93,-95,-92,-73,-87,-68,-88,-91,-89,-83,-85,
45.40955,-73.93831,-75,-68,-63,-77,-82,-81,-75,-90,-79,-96,-96,-88,-98,-94,-94,-93,-91,-92,-68,-90,-69,-87,-89,-86,-88,-84,
