lat,long,150000,200000,250000,300000,350000,400000,450000,500000,550000,600000,650000,700000,750000,800000,850000,900000,950000,1000000,1050000,1100000,1150000,1200000,1250000,1300000,1350000,1400000,1450000,1500000,1550000,1600000,1650000,1700000,1750000,1800000,1850000,1900000,1950000,2000000,2050000,2100000,2150000,2200000,2250000,2300000,2350000,2400000,2450000,2500000,2550000,2600000,2650000
45.43386,73.93387,-80,-80,-94,-92,-91,-79,-86,-76,-97,-97,-91,-99,-99,-98,-99,-101,-96,-98,-99,-100,-98,-97,-101,-97,-99,-97,-98,-98,-93,-96,-93,-94,-94,-95,-94,-91,-86,-87,-92,-90,-90,-92,-92,-91,-92,-93,-88,-89,-87,-88,-89
45.43417,73.93408,-85,-88,-96,-92,-92,-78,-90,-84,-99,-98,-85,-99,-97,-98,-99,-96,-98,-98,-95,-100,-99,-97,-101,-100,-98,-99,-97,-97,-93,-96,-97,-94,-93,-93,-93,-95,-83,-88,-95,-86,-91,-92,-88,-94,-93,-93,-89,-89,-88,-88,-87
45.43472,73.93446,-77,-86,-97,-94,-90,-75,-87,-79,-98,-97,-82,-100,-94,-70,-100,-98,-89,-99,-98,-98,-100,-99,-99,-99,-98,-96,-97,-99,-95,-94,-93,-94,-93,-95,-95,-94,-88,-91,-94,-90,-91,-89,-93,-93,-93,-90,-88,-89,-88,-88,-87
45.43520,73.93477,-89,-91,-96,-90,-95,-89,-90,-84,-99,-98,-83,-100,-98,-98,-97,-98,-93,-100,-97,-101,-101,-98,-100,-99,-98,-98,-98,-98,-94,-95,-96,-94,-94,-96,-95,-95,-89,-92,-92,-91,-93,-92,-92,-93,-93,-93,-90,-88,-87,-88,-88
45.43554,73.93497,-84,-88,-97,-94,-93,-91,-91,-83,-95,-98,-85,-100,-89,-67,-98,-94,-96,-99,-98,-101,-101,-99,-100,-100,-98,-98,-98,-99,-94,-93,-95,-94,-94,-92,-95,-96,-87,-89,-95,-86,-92,-91,-90,-92,-91,-94,-89,-90,-88,-88,-89
45.43583,73.93517,-90,-88,-93,-94,-92,-90,-89,-83,-100,-99,-92,-100,-91,-99,-100,-94,-97,-100,-98,-100,-99,-100,-100,-99,-96,-98,-99,-99,-95,-95,-96,-93,-95,-94,-96,-96,-87,-91,-95,-93,-91,-91,-93,-93,-92,-92,-88,-88,-87,-88,-88
45.43612,73.93534,-84,-95,-97,-93,-94,-88,-91,-83,-100,-96,-97,-100,-97,-99,-99,-98,-96,-100,-100,-100,-101,-100,-100,-99,-98,-98,-98,-98,-94,-94,-96,-94,-93,-95,-95,-95,-91,-95,-93,-93,-89,-92,-91,-92,-92,-92,-89,-88,-86,-88,-89
45.43645,73.93555,-80,-78,-96,-92,-93,-76,-90,-76,-95,-95,-85,-98,-95,-96,-94,-98,-96,-98,-97,-100,-100,-99,-100,-98,-98,-99,-97,-99,-94,-94,-96,-94,-95,-93,-95,-94,-86,-93,-90,-91,-92,-94,-92,-91,-92,-91,-89,-89,-88,-87,-88
45.43683,73.93587,-79,-85,-97,-90,-95,-72,-90,-75,-96,-98,-74,-98,-92,-98,-97,-99,-88,-97,-99,-99,-99,-98,-100,-98,-98,-97,-98,-99,-95,-95,-96,-95,-94,-94,-94,-92,-89,-93,-90,-92,-92,-89,-93,-91,-93,-92,-90,-89,-89,-87,-89
45.43690,73.93598,-88,-83,-95,-92,-93,-91,-91,-71,-98,-99,-78,-100,-87,-96,-94,-96,-89,-99,-99,-101,-100,-99,-101,-99,-100,-98,-99,-97,-94,-95,-95,-95,-93,-94,-93,-92,-86,-92,-91,-85,-92,-93,-87,-93,-92,-93,-89,-89,-86,-89,-89
45.43682,73.93620,-78,-81,-97,-92,-94,-87,-91,-68,-96,-101,-77,-99,-87,-98,-97,-98,-88,-98,-98,-100,-100,-99,-99,-99,-99,-96,-98,-98,-94,-96,-96,-96,-94,-94,-94,-94,-82,-94,-93,-90,-91,-92,-85,-92,-93,-92,-90,-89,-83,-89,-89
45.43678,73.93639,-80,-75,-95,-90,-94,-89,-93,-70,-98,-96,-74,-98,-92,-98,-91,-97,-86,-99,-99,-100,-100,-98,-100,-100,-98,-97,-98,-98,-94,-94,-96,-94,-93,-93,-95,-93,-88,-92,-92,-90,-88,-93,-93,-91,-93,-92,-89,-86,-89,-88,-89
45.43670,73.93662,-78,-75,-94,-92,-95,-88,-85,-68,-96,-98,-79,-95,-94,-94,-99,-97,-91,-97,-97,-101,-100,-100,-98,-99,-98,-98,-99,-98,-96,-95,-96,-93,-96,-94,-95,-95,-87,-93,-90,-91,-90,-92,-94,-93,-93,-93,-90,-87,-89,-89,-89
45.43658,73.93684,-75,-75,-95,-93,-90,-74,-89,-78,-98,-99,-75,-99,-96,-98,-100,-100,-90,-96,-97,-98,-99,-98,-100,-99,-97,-98,-97,-99,-96,-95,-96,-92,-94,-95,-93,-95,-84,-91,-89,-88,-91,-92,-92,-91,-92,-91,-87,-88,-83,-87,-89
45.43651,73.93711,-77,-79,-95,-91,-93,-81,-86,-70,-97,-96,-80,-100,-95,-99,-98,-99,-92,-98,-99,-100,-100,-98,-99,-98,-96,-99,-99,-96,-95,-96,-96,-93,-94,-93,-95,-93,-89,-94,-92,-87,-87,-91,-90,-91,-93,-93,-90,-88,-88,-88,-88
45.43649,73.93739,-76,-71,-95,-92,-93,-88,-84,-61,-97,-98,-78,-98,-90,-98,-97,-96,-87,-98,-99,-100,-101,-99,-98,-96,-97,-97,-98,-98,-92,-95,-95,-94,-93,-94,-94,-93,-89,-91,-94,-90,-90,-92,-92,-91,-92,-92,-87,-89,-88,-88,-88
45.43641,73.93766,-74,-78,-94,-92,-92,-91,-85,-71,-99,-99,-74,-98,-97,-99,-98,-98,-88,-97,-98,-100,-98,-100,-100,-99,-96,-99,-98,-96,-91,-96,-96,-96,-94,-95,-94,-95,-87,-94,-93,-91,-91,-92,-91,-93,-92,-94,-88,-90,-86,-86,-89
